SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,709 S Boylan Ave,Raleigh,NC,27603,799900,2,2.0,Boylan Heights,1462,5663,1920,7,547,,Active,,,https://www.redfin.com/NC/Raleigh/709-S-Boylan-Ave-27603/home/41077609,TMLS,10051935,N,Y,35.7722643,-78.650822
MLS Listing,,Single Family Residential,2824 Combe Hill Trl,Raleigh,NC,27613,782000,4,2.5,Wildwood Green,3163,13068,1990,33,247,74,Active,,,https://www.redfin.com/NC/Raleigh/2824-Combe-Hill-Trl-27613/home/41338063,TMLS,10047237,N,Y,35.9114352,-78.6873835
MLS Listing,,Single Family Residential,2012 Wide River Dr,Raleigh,NC,27614,1250000,5,5.0,River Run,6436,21780,2008,34,194,108,Active,,,https://www.redfin.com/NC/Raleigh/2012-Wide-River-Dr-27614/home/41360313,TMLS,10046893,N,Y,35.9320891,-78.5769632
MLS Listing,,Townhouse,5422 Pine Top Cir,Raleigh,NC,27612,320000,3,2.5,Ridgeloch Townes,1418,1742,1983,36,226,236,Active,,,https://www.redfin.com/NC/Raleigh/5422-Pine-Top-Cir-27612/home/41149626,TMLS,10046597,N,Y,35.8536977,-78.6669302
MLS Listing,,Single Family Residential,4616 Silverdene St,Raleigh,NC,27616,335000,3,2.5,Ansleigh,1433,6534,1999,47,234,11,Active,,,https://www.redfin.com/NC/Raleigh/4616-Silverdene-St-27616/home/41238380,TMLS,10044757,N,Y,35.8458948,-78.5562913
MLS Listing,,Townhouse,6011 Beale Loop,Raleigh,NC,27616,360000,3,2.5,City Walk,1819,2178,2019,49,198,157,Active,,,https://www.redfin.com/NC/Raleigh/6011-Beale-Loop-27616/home/168668345,TMLS,10044203,N,Y,35.8641688,-78.5894388
MLS Listing,,Single Family Residential,301 Martin Luther King Jr Blvd,Raleigh,NC,27601,724900,4,3.0,Not in a Subdivision,2168,5227,1959,54,334,,Active,,,https://www.redfin.com/NC/Raleigh/301-Martin-Luther-King-Jr-Blvd-27601/home/41090905,TMLS,10043763,N,Y,35.7695793,-78.6351574
MLS Listing,,Townhouse,2635 Broad Oaks Pl,Raleigh,NC,27603,339900,3,2.5,Broad Oaks Townhomes,1648,1742,1999,54,206,295,Active,,,https://www.redfin.com/NC/Raleigh/2635-Broad-Oaks-Pl-27603/home/41178231,TMLS,10043563,N,Y,35.7499607,-78.6796435
MLS Listing,,Single Family Residential,200 Grand Ave,Raleigh,NC,27606,540000,3,2.0,Westover,1504,9583,1925,55,359,,Active,,,https://www.redfin.com/NC/Raleigh/200-Grand-Ave-27606/home/41079397,TMLS,10043445,N,Y,35.7925225,-78.7149922
MLS Listing,,Townhouse,6022 River Lake Cir,Raleigh,NC,27604,310000,2,2.5,Riverbend,1632,1742,1988,68,190,155,Active,,,https://www.redfin.com/NC/Raleigh/6022-River-Lake-Cir-27604/home/41180090,TMLS,10040851,N,Y,35.8319561,-78.5375789
MLS Listing,,Townhouse,8710 Red Canyon Way,Raleigh,NC,27616,315000,3,2.5,Thornton Reserve,1448,2178,2021,77,218,121,Active,,,https://www.redfin.com/NC/Raleigh/8710-Red-Canyon-Way-27616/home/174386356,TMLS,10039309,N,Y,35.8966534,-78.5535232
MLS Listing,,Condo/Co-op,1101 Parkridge Ln #305,Raleigh,NC,27605,379900,2,2.0,Parkridge Lane,925,,1986,91,411,308,Active,,,https://www.redfin.com/NC/Raleigh/1101-Parkridge-Ln-27605/unit-305/home/41250260,TMLS,10036535,N,Y,35.7941208,-78.650424
