SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,106 Myrtle St #8,Boston,MA,02114,1095000,2,1.0,Boston,782,780,1935,3,1400,500,Active,September-22-2024 01:30 PM,September-22-2024 03:00 PM,https://www.redfin.com/MA/Boston/106-Myrtle-St-02114/unit-8/home/9256653,MLS PIN,73289979,N,Y,42.3592004,-71.0683014
MLS Listing,,Multi-Family (2-4 Unit),53 Brookside Ave,Boston,MA,02130,1250000,6,3.0,Boston,2644,2238,1920,4,473,,Active,,,https://www.redfin.com/MA/Jamaica-Plain/53-Brookside-Ave-02130/home/9145897,MLS PIN,73289262,N,Y,42.3131049,-71.1038363
MLS Listing,,Single Family Residential,37 Halliday St,Boston,MA,02131,783000,3,1.5,Boston,1201,6000,1945,5,652,,Active,,,https://www.redfin.com/MA/Roslindale/37-Halliday-St-02131/home/11836258,MLS PIN,73288805,N,Y,42.2875871,-71.1130774
MLS Listing,,Condo/Co-op,9 Glover Ct #3,Boston,MA,02127,1274000,3,2.0,South Boston,1763,,2023,5,723,361,Active,,,https://www.redfin.com/MA/Boston/9-Glover-Ct-02127/unit-3/home/185736239,MLS PIN,73288511,N,Y,42.331081068,-71.05635801
MLS Listing,,Condo/Co-op,9 Glover Ct #1,Boston,MA,02127,1095000,3,2.0,South Boston,1763,,2023,5,621,310,Active,,,https://www.redfin.com/MA/Boston/9-Glover-Ct-02127/unit-1/home/185082537,MLS PIN,73288498,N,Y,42.331089,-71.0565109
MLS Listing,,Condo/Co-op,24 Montrose St #2,Boston,MA,02119,800000,3,2.0,Roxbury,1333,3337,1910,5,600,175,Active,,,https://www.redfin.com/MA/Boston/24-Montrose-St-02119/unit-2/home/192272071,MLS PIN,73288307,N,Y,42.3240092,-71.0804691
MLS Listing,,Condo/Co-op,24 Montrose St #1,Boston,MA,02119,750000,2,2.0,Roxbury,1004,3337,1910,5,747,175,Active,,,https://www.redfin.com/MA/Boston/24-Montrose-St-02119/unit-1/home/192272064,MLS PIN,73288301,N,Y,42.3240092,-71.0804691
MLS Listing,,Multi-Family (2-4 Unit),24 Montrose St,Boston,MA,02119,1400000,5,4.0,Roxbury,2748,3337,1910,5,509,,Active,,,https://www.redfin.com/MA/Roxbury/24-Montrose-St-02119/home/11837251,MLS PIN,73288298,N,Y,42.3239709,-71.0804847
MLS Listing,,Single Family Residential,443 Poplar St,Boston,MA,02131,1025000,4,2.5,Roslindale,1978,6003,2019,10,518,,Active,September-22-2024 12:00 PM,September-22-2024 01:30 PM,https://www.redfin.com/MA/Roslindale/443-Poplar-St-02131/home/9178314,MLS PIN,73286677,N,Y,42.2752977,-71.1271751
MLS Listing,,Condo/Co-op,140 Shawmut Ave Unit 2A,Boston,MA,02118,1199000,2,2.0,South End,1200,,2017,11,999,954,Active,,,https://www.redfin.com/MA/Boston/140-Shawmut-Ave-02118/unit-2A/home/103827045,MLS PIN,73285715,N,Y,42.3459644,-71.0657809
MLS Listing,,Condo/Co-op,844 E Broadway #1,Boston,MA,02127,1100000,3,2.0,Boston,1691,1691,1905,12,651,240,Active,,,https://www.redfin.com/MA/South-Boston/844-E-Broadway-02127/unit-1/home/11734671,MLS PIN,73285121,N,Y,42.335926,-71.0305718
MLS Listing,,Condo/Co-op,841 Parker St #304,Boston,MA,02120,670000,2,1.0,Boston,921,921,1899,12,727,694,Active,,,https://www.redfin.com/MA/Boston/841-Parker-St-02120/unit-304/home/12131124,MLS PIN,73284719,N,Y,42.3275823,-71.0999835
MLS Listing,,Condo/Co-op,99 Tremont At Oak Sq #415,Boston,MA,02135,875000,2,2.0,Brighton,1149,,2018,17,762,602,Active,,,https://www.redfin.com/MA/Brighton/99-Tremont-St-02135/unit-415/home/145879545,MLS PIN,73283134,N,Y,42.3511618,-71.1726583
MLS Listing,,Condo/Co-op,84 Gordon St #204,Boston,MA,02135,649900,3,1.5,Brighton,994,994,1910,25,654,620,Active,,,https://www.redfin.com/MA/Brighton/84-Gordon-St-02135/unit-204/home/9226544,MLS PIN,73280724,N,Y,42.3498511,-71.139792
MLS Listing,,Condo/Co-op,85 Brainerd Rd Unit TH8,Boston,MA,02134,1099000,3,2.5,Allston,1937,1900,1986,61,567,524,Active,,,https://www.redfin.com/MA/Allston/85-Brainerd-Rd-02134/unit-TH8/home/8986191,MLS PIN,73265796,N,Y,42.3472322,-71.1348713
MLS Listing,,Condo/Co-op,58 Dustin St #1,Boston,MA,02135,999000,2,2.0,Brighton,1847,3430,1900,103,541,175,Active,,,https://www.redfin.com/MA/Boston/58-Dustin-St-02135/unit-1/home/190933482,MLS PIN,73247503,N,Y,42.3527524,-71.1456213
MLS Listing,,Condo/Co-op,211 E Cottage St #2,Boston,MA,02125,675000,2,2.0,Dorchester,1229,1229,1905,103,549,300,Active,,,https://www.redfin.com/MA/Dorchester/211-E-Cottage-St-02125/unit-2/home/12431821,MLS PIN,73247351,N,Y,42.3192462,-71.0602912
MLS Listing,,Condo/Co-op,210 South St Unit 5-1,Boston,MA,02111,999900,2,2.0,Leather District,1730,1709,1920,172,578,850,Active,,,https://www.redfin.com/MA/Boston/210-South-St-02111/unit-51/home/12440342,MLS PIN,73217195,N,Y,42.3498598,-71.0572982
MLS Listing,,Condo/Co-op,717 Atlantic Ave Unit 2A,Boston,MA,02111,950000,1,1.0,Leather District,1472,1472,1900,310,645,692,Active,,,https://www.redfin.com/MA/Boston/717-Atlantic-Ave-02111/unit-2A/home/9231940,MLS PIN,73169035,N,Y,42.3508223,-71.0566329
MLS Listing,,Single Family Residential,53 Burroughs St Unit B,Boston,MA,02130,1799000,4,3.0,Jamaica Plain,2375,4000,1997,1,757,,Active,September-19-2024 12:00 PM,September-19-2024 01:30 PM,https://www.redfin.com/MA/Boston/53-Burroughs-St-02130/unit-B/home/192583566,MLS PIN,73290821,N,Y,42.3140955,-71.117075
MLS Listing,,Condo/Co-op,100 Shawmut Ave #610,Boston,MA,02118,1499000,2,2.0,South End,1027,,2021,1,1460,1082,Active,,,https://www.redfin.com/MA/Boston/100-Shawmut-Ave-02118/unit-610/home/178308489,MLS PIN,73290809,N,Y,42.3466841,-71.0656551
MLS Listing,,Condo/Co-op,77 Salem St Unit 5B,Boston,MA,02113,819000,2,2.0,North End,993,1133,1984,1,825,500,Active,,,https://www.redfin.com/MA/Boston/77-Salem-St-02113/unit-5B/home/9278546,MLS PIN,73290807,N,Y,42.3635169,-71.055766
MLS Listing,,Condo/Co-op,240 Devonshire St #4609,Boston,MA,02110,2750000,2,2.0,Midtown,1538,,2023,1,1788,2232,Active,,,https://www.redfin.com/MA/Boston/240-Devonshire-St-02110/unit-4609/home/192582250,MLS PIN,73290805,N,Y,42.3547633,-71.0571509
MLS Listing,,Condo/Co-op,240 Devonshire St #5714,Boston,MA,02110,1845000,1,1.0,Midtown,900,,2023,1,2050,1068,Active,,,https://www.redfin.com/MA/Boston/240-Devonshire-St-02110/unit-5714/home/192582249,MLS PIN,73290804,N,Y,42.3547633,-71.0571509
MLS Listing,,Condo/Co-op,50 Leo M Birmingham Pkwy #506,Boston,MA,02135,868000,2,2.0,Brighton,910,,2022,1,954,612,Active,,,https://www.redfin.com/MA/Boston/50-Leo-M-Birmingham-Pkwy-02135/unit-506/home/177687490,MLS PIN,73290795,N,Y,42.3600329,-71.1464994
MLS Listing,,Condo/Co-op,53-55 Harvest St #1,Boston,MA,02125,874000,2,2.5,Dorchester's Savin Hill,2098,,1900,1,417,275,Active,September-21-2024 12:00 PM,September-21-2024 01:30 PM,https://www.redfin.com/MA/Dorchester/53-55-Harvest-St-02125/unit-1/home/108422301,MLS PIN,73290788,N,Y,42.3232416,-71.05856
MLS Listing,,Condo/Co-op,99 Sumner St #102,Boston,MA,02128,849900,1,1.0,East Boston's Jeffries Point,842,,2020,1,1009,832,Active,September-18-2024 04:00 PM,September-18-2024 06:00 PM,https://www.redfin.com/MA/Boston/99-Sumner-St-02128/unit-102/home/173421781,MLS PIN,73290764,N,Y,42.3697844,-71.0422881
MLS Listing,,Multi-Family (5+ Unit),59-63 Meridian,Boston,MA,02128,4295000,0,,East Boston,13956,4681,1910,1,308,,Active,,,https://www.redfin.com/MA/East-Boston/59-63-Meridian-St-02128/home/192580788,MLS PIN,73290709,N,Y,42.371783,-71.038702
