SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,1838 Akron St,Dallas,TX,75212,656000,,,College Park,,21039,2024,1,,,Active,,,https://www.redfin.com/TX/Dallas/1838-Akron-St-75212/home/30986971,NTREIS,20726685,N,Y,32.776924,-96.849756
MLS Listing,,Single Family Residential,229 W Jerden Ln,Dallas,TX,75208,260000,2,1.0,Travenio Revision Add,840,9540,1950,2,310,,Active,,,https://www.redfin.com/TX/Dallas/229-W-Jerden-Ln-75208/home/30832114,NTREIS,20724463,N,Y,32.7355678,-96.8260019
MLS Listing,,Single Family Residential,7102 Hedge Dr,Dallas,TX,75249,265000,3,2.0,Woods,1420,7536,1978,5,187,,Active,September-21-2024 11:00 AM,September-21-2024 01:00 PM,https://www.redfin.com/TX/Dallas/7102-Hedge-Dr-75249/home/31117029,NTREIS,20724520,N,Y,32.6251938,-96.9452262
MLS Listing,,Single Family Residential,9911 Spirehaven Ln,Dallas,TX,75238,1499000,4,4.0,Promontory Ridge Add,4046,7405,1992,7,370,,Active,,,https://www.redfin.com/TX/Dallas/9911-Spirehaven-Ln-75238/home/31151261,NTREIS,20725120,N,Y,32.8706553,-96.7151994
MLS Listing,,Condo/Co-op,4312 Mckinney Ave #16,Dallas,TX,75205,749000,3,3.5,Brighton Lofts South Condo,2969,35022,2001,8,252,511,Active,,,https://www.redfin.com/TX/Dallas/4312-McKinney-Ave-75205/unit-16/home/30729158,NTREIS,20725069,N,Y,32.8183468,-96.7893287
MLS Listing,,Condo/Co-op,4414 Cedar Springs Rd #321,Dallas,TX,75219,235000,1,1.0,Tribeca,720,88427,2003,13,326,329,Active,,,https://www.redfin.com/TX/Dallas/4414-Cedar-Springs-Rd-75219/unit-321/home/30746222,NTREIS,20712469,N,Y,32.8157219,-96.8164357
MLS Listing,,Condo/Co-op,900 S Weatherred Dr Unit 900E,Richardson,TX,75080,174900,2,1.0,Shadow Lake Condo Ph 01 & 02,996,101495,1967,26,176,390,Active,,,https://www.redfin.com/TX/Richardson/900-S-Weatherred-Dr-75080/unit-900E/home/31976554,NTREIS,20707679,N,Y,32.9423112,-96.7516021
MLS Listing,,Single Family Residential,1206 Grant St,Dallas,TX,75203,210000,2,1.0,Dt Griffith,864,7231,1946,29,243,,Active,,,https://www.redfin.com/TX/Dallas/1206-Grant-St-75203/home/30828817,NTREIS,20693971,N,Y,32.7409399,-96.806628
MLS Listing,,Single Family Residential,2535 Paseo Paraiso Dr,Dallas,TX,75227,310000,4,2.5,La Valencia,1845,5619,2016,30,168,,Active,,,https://www.redfin.com/TX/Dallas/2535-Paseo-Paraiso-Dr-75227/home/30774265,NTREIS,20700342,N,Y,32.7558112,-96.6537732
MLS Listing,,Single Family Residential,6446 Redpine Rd,Dallas,TX,75248,889999,4,3.0,Prestonwood,2993,8451,1979,33,297,,Active,September-21-2024 02:00 PM,September-21-2024 04:00 PM,https://www.redfin.com/TX/Dallas/6446-Redpine-Rd-75248/home/31111661,NTREIS,20701910,N,Y,32.9742396,-96.7944099
MLS Listing,,Townhouse,4217 Travis St,Dallas,TX,75205,785000,3,3.5,Foresite 04,2337,2439,1999,33,336,,Active,,,https://www.redfin.com/TX/Dallas/4217-Travis-St-75205/home/32194908,NTREIS,20702375,N,Y,32.8177799,-96.7937799
MLS Listing,,Condo/Co-op,6101 Summer Creek Cir,Dallas,TX,75231,325000,2,2.0,Big Thicket,987,148714,1980,34,329,150,Active,,,https://www.redfin.com/TX/Dallas/6101-Summer-Creek-Cir-75231/home/30868584,NTREIS,20702511,N,Y,32.8632321,-96.758
MLS Listing,,Condo/Co-op,3883 Turtle Creek Blvd #108,Dallas,TX,75219,298000,2,2.0,Twenty-One Turtle Creek Condo,1014,137606,1963,40,294,941,Active,,,https://www.redfin.com/TX/Dallas/3883-Turtle-Creek-Blvd-75219/unit-108/home/30797167,NTREIS,20694620,N,Y,32.8152689,-96.7993715
MLS Listing,,Condo/Co-op,4414 Cedar Springs Rd #327,Dallas,TX,75219,305000,2,2.0,Tribeca,1006,88427,2003,40,303,428,Active,,,https://www.redfin.com/TX/Dallas/4414-Cedar-Springs-Rd-75219/unit-327/home/30746226,NTREIS,20679495,N,Y,32.8157219,-96.8164357
MLS Listing,,Single Family Residential,9342 Springwater Dr,Dallas,TX,75228,925000,4,3.0,Lindenwood Park 2nd Inst,2622,11587,1964,42,353,,Active,,,https://www.redfin.com/TX/Dallas/9342-Springwater-Dr-75228/home/30999233,NTREIS,20690883,N,Y,32.8190191,-96.6944966
MLS Listing,,Single Family Residential,1339 Branchwood Pl,Dallas,TX,75215,529000,3,3.5,Southside Place Add 2,2041,1525,2016,44,259,146,Active,,,https://www.redfin.com/TX/Dallas/1339-Branchwood-Pl-75215/home/143837853,NTREIS,20691004,N,Y,32.7690742,-96.7958238
MLS Listing,,Condo/Co-op,3102 Kings Rd #2209,Dallas,TX,75219,309900,2,2.0,Piazza Siena Condos Bldg 2,968,87033,2001,47,320,379,Active,,,https://www.redfin.com/TX/Dallas/3102-Kings-Rd-75219/unit-2209/home/30783109,NTREIS,20679587,N,Y,32.8189896,-96.8193667
MLS Listing,,Single Family Residential,109 Palm Oak Dr,Dallas,TX,75217,320000,3,2.0,Shady Hills,1645,7841,2024,47,195,,Active,,,https://www.redfin.com/TX/Dallas/109-Palm-Oak-Dr-75217/home/30919567,NTREIS,20688148,N,Y,32.7119952,-96.7041313
MLS Listing,,Single Family Residential,8555 Westfield Dr,Dallas,TX,75243,465000,3,1.5,Northwood Estates,1088,7492,1959,49,427,,Active,,,https://www.redfin.com/TX/Dallas/8555-Westfield-Dr-75243/home/31027660,NTREIS,20683397,N,Y,32.9002929,-96.7551314
MLS Listing,,Townhouse,7027 Regalview Cir,Dallas,TX,75248,425000,2,2.0,Prestonwood Hillcrest Twnhs,1653,9627,1978,53,257,100,Active,,,https://www.redfin.com/TX/Dallas/7027-Regalview-Cir-75248/home/31080345,NTREIS,20682953,N,Y,32.9657009,-96.7883379
MLS Listing,,Townhouse,13937 Brookgreen Dr,Dallas,TX,75240,219500,2,2.0,Brookgreen Twnhs 02,939,3572,1969,55,234,432,Active,,,https://www.redfin.com/TX/Dallas/13937-Brookgreen-Dr-75240/home/31047567,NTREIS,20679214,N,Y,32.933135,-96.763322
MLS Listing,,Single Family Residential,10328 Liberty Grove Rd,Rowlett,TX,75089,599900,4,2.0,Harrison Blevins,2516,16988,1972,57,238,,Active,,,https://www.redfin.com/TX/Rowlett/10328-Liberty-Grove-Rd-75089/home/32121672,NTREIS,20675403,N,Y,32.9513703,-96.5195331
MLS Listing,,Single Family Residential,5104 Maple Springs Blvd,Dallas,TX,75235,525000,4,2.0,Oak Lawn Heights,1832,12066,1941,57,287,,Active,,,https://www.redfin.com/TX/Dallas/5104-Maple-Springs-Blvd-75235/home/30813537,NTREIS,20676205,N,Y,32.8202073,-96.825037
MLS Listing,,Townhouse,13893 Brookgreen Dr,Dallas,TX,75240,275000,3,2.0,Brookgreen Twnhs 02,1230,3136,1969,58,224,434,Active,,,https://www.redfin.com/TX/Dallas/13893-Brookgreen-Dr-75240/home/31047794,NTREIS,20675514,N,Y,32.934056,-96.76517
MLS Listing,,Townhouse,2504 Brook Hollow Ct,Mesquite,TX,75150,285000,3,2.0,Stoney Glen,1498,3006,1983,62,190,80,Active,,,https://www.redfin.com/TX/Mesquite/2504-Brook-Hollow-Ct-75150/home/31895688,NTREIS,20670057,N,Y,32.8395481,-96.6379869
MLS Listing,,Condo/Co-op,5757 E University Blvd Unit 22T,Dallas,TX,75206,248000,2,2.5,University Crossroads 01 & 02,902,249250,1983,62,275,420,Active,,,https://www.redfin.com/TX/Dallas/5757-E-University-Blvd-75206/unit-22T/home/31125684,NTREIS,20665801,N,Y,32.8458389,-96.7686781
MLS Listing,,Single Family Residential,1206 N Selva Dr,Dallas,TX,75218,595000,3,2.0,Casa Linda Estates,1320,22303,1951,63,451,,Active,,,https://www.redfin.com/TX/Dallas/1206-N-Selva-Dr-75218/home/30861680,NTREIS,20669766,N,Y,32.8378287,-96.6966251
MLS Listing,,Single Family Residential,6100 Victor St,Dallas,TX,75214,675000,4,2.0,Hill Crest,1752,7754,1916,63,385,,Active,,,https://www.redfin.com/TX/Dallas/6100-Victor-St-75214/home/30802368,NTREIS,20669339,N,Y,32.8076612,-96.751446
MLS Listing,,Townhouse,4934 Camdale Ct,Dallas,TX,75206,650000,3,3.5,Fitzhugh Glen,2092,1350,2017,75,311,,Active,,,https://www.redfin.com/TX/Dallas/4934-Camdale-Ct-75206/home/147237623,NTREIS,20640817,N,Y,32.8093056,-96.7792725
MLS Listing,,Townhouse,1021 Pavillion St #1,Dallas,TX,75204,569000,3,3.5,Veranda,2156,40772,2014,77,264,300,Active,,,https://www.redfin.com/TX/Dallas/1021-Pavillion-St-75204/unit-1/home/191455757,NTREIS,20661165,N,Y,32.7940711,-96.7901287
MLS Listing,,Townhouse,3142 Ross Ave #2,Dallas,TX,75204,549000,3,2.5,Veranda,1978,40772,2014,77,278,300,Active,,,https://www.redfin.com/TX/Dallas/3142-Ross-Ave-75204/unit-2/home/191450035,NTREIS,20661139,N,Y,32.7941357,-96.7903872
MLS Listing,,Single Family Residential,2710 Green Gables Ct,Rockwall,TX,75087,479500,4,2.0,Promenade Harbor,2299,16814,2003,92,209,22,Active,,,https://www.redfin.com/TX/Rockwall/2710-Green-Gables-Ct-75087/home/33945178,NTREIS,20642428,N,Y,32.9633904,-96.4785055
MLS Listing,,Townhouse,2138 Aylesport Dr,Dallas,TX,75201,819000,3,3.5,Intown Homes Farmers Market,2526,1394,2013,107,324,170,Active,,,https://www.redfin.com/TX/Dallas/2138-Aylesport-Dr-75201/home/52204036,NTREIS,20623458,N,Y,32.7788906,-96.7897506
MLS Listing,,Single Family Residential,8234 Zoysia Ln,Dallas,TX,75252,739900,4,3.5,University Place Add Ph 3,2879,4400,2018,110,257,63,Active,,,https://www.redfin.com/TX/Dallas/8234-Zoysia-Ln-75252/home/169609429,NTREIS,20627085,N,Y,32.9909981,-96.7597576
MLS Listing,,Vacant Land,400 E Lawson Rd,Dallas,TX,75253,283000,,,,,143312,,117,,,Active,,,https://www.redfin.com/TX/Dallas/400-E-Lawson-Rd-75253/home/31159645,NTREIS,20625138,N,Y,32.699163,-96.567227
MLS Listing,,Single Family Residential,14281 Lasater Rd,Dallas,TX,75253,1250000,4,2.0,Samuel A Naught Surv Abs #567,2794,248728,1964,119,447,,Active,,,https://www.redfin.com/TX/Dallas/14281-Lasater-Rd-75253/home/31159633,NTREIS,20615631,N,Y,32.6978999,-96.5686702
MLS Listing,,Single Family Residential,10023 Medlock Dr,Dallas,TX,75218,750000,3,2.0,Eastwood Estates 3,2232,9365,1961,146,336,,Active,,,https://www.redfin.com/TX/Dallas/10023-Medlock-Dr-75218/home/31022405,NTREIS,20592972,N,Y,32.851127,-96.7050475
MLS Listing,,Single Family Residential,6605 Warwick Dr,Rowlett,TX,75087,445000,5,3.0,Heritage On The Lake Ph 1,2884,8059,1994,188,154,,Active,,,https://www.redfin.com/TX/Rockwall/6605-Warwick-Dr-75087/home/33932629,NTREIS,20560036,N,Y,32.9183371,-96.5051014
Redfin Data,,Condo/Co-op,7125 Fair Oaks Ave #9,Dallas,TX,75231,189000,3,3.0,Dallas,1303,130070,1974,2,145,,Pre On-Market,,,https://www.redfin.com/TX/Dallas/7125-Fair-Oaks-Ave-75231/unit-9/home/30858569,Coming Soon,101710,N,Y,32.8737621,-96.7573313
MLS Listing,,Townhouse,9815 Smokefeather Ln,Dallas,TX,75243,319900,4,3.0,Chimney Hill 4th Inst,2100,3223,1978,1,152,410,Active,,,https://www.redfin.com/TX/Dallas/9815-Smokefeather-Ln-75243/home/31109092,NTREIS,20727218,N,Y,32.9214945,-96.7381289
MLS Listing,,Single Family Residential,8801 Clearlake Dr,Rowlett,TX,75088,440000,3,2.5,Lakeshore Park Estates,2097,5489,1997,1,210,,Active,,,https://www.redfin.com/TX/Rowlett/8801-Clearlake-Dr-75088/home/33930424,NTREIS,20690500,N,Y,32.9029885,-96.5165378
